status,event_id,change_kind,english_name,chinese_name,gazette_date,gazette_notice,notice_no
skipped_covered,,,ANDERSON ROAD,安達臣道,2023-06-02,3377,
skipped_covered,,,ANHUI STREET,安徽街,1935-04-26,334,
skipped_covered,,,AP LEI CHAU BRIDGE ROAD,鴨脷洲橋道,1981-02-20,593,
skipped_covered,,,AP LEI CHAU BRIDGE ROAD,鴨脷洲橋道,1994-01-14,176,
skipped_covered,,,AP LEI CHAU DRIVE,鴨脷洲徑,1989-11-10,3971,
skipped_covered,,,AP LEI CHAU PRAYA ROAD,鴨脷洲海旁道,1989-11-10,3971,
skipped_covered,,,APLIU STREET,鴨寮街,1927-11-25,699,
skipped_covered,,,ARGYLE STREET,亞皆老街,1926-02-12,68,
skipped_covered,,,ARGYLE STREET,亞皆老街,1926-04-16,202,
skipped_covered,,,ARGYLE STREET,亞皆老街,1974-11-08,2789,
skipped_covered,,,ARRAN LANE,雅蘭里,1988-01-29,307,
skipped_covered,,,ARRAN STREET,鴉蘭街,1923-09-28,411,
skipped_covered,,,ASH STREET,槐樹街,1927-11-25,699,
skipped_covered,,,AU PUI WAN STREET,㘭背灣街,1981-08-14,2405,
skipped_covered,,,AUSTIN ROAD WEST,柯士甸道西,1998-11-13,5530,
skipped_covered,,,AUSTIN ROAD WEST,柯士甸道西,2004-03-12,1737,
skipped_covered,,,AUSTIN ROAD WEST,柯士甸道西,2018-11-23,8793,
skipped_covered,,,BABINGTON PATH,巴丙頓道,1904-01-29,59,
skipped_covered,,,BAILEY STREET,庇利街,1935-04-26,334,
skipped_covered,,,BAILEY STREET,庇利街,1991-01-04,53,
skipped_covered,,,BAKER COURT,必嘉圍,1958-06-27,865,
skipped_covered,,,BAKER STREET,必嘉街,1958-06-27,865,
skipped_covered,,,BAKER STREET,必嘉街,1980-05-23,1581,
skipped_covered,,,BAKER STREET,必嘉街,1986-10-17,3601,
skipped_covered,,,BANK STREET,銀行街,1974-07-19,1822,
skipped_covered,,,BAPTIST UNIVERSITY ROAD,浸會大學道,1996-10-11,4665,
skipped_covered,,,BARKER ROAD,白加道,1898-11-05,490,
skipped_covered,,,BATTERY PATH,炮台里,1958-06-27,865,
skipped_covered,,,BATTERY STREET,炮台街,1930-01-17,39,
skipped_covered,,,BATTERY STREET,炮台街,1941-10-31,1282,
skipped_covered,,,BAUHINIA ROAD EAST,紫荊東路,1985-08-02,2525,
skipped_covered,,,BAUHINIA ROAD NORTH,紫荊北路,1985-08-02,2525,
skipped_covered,,,BAUHINIA ROAD WEST,紫荊西路,1985-08-02,2525,
skipped_covered,,,BAYSIDE DRIVE,堤畔徑,2012-07-13,4805,
skipped_covered,,,BEACH ROAD,海灘道,1935-04-12,302,
skipped_covered,,,BEACON HILL ROAD,筆架山道,1957-04-05,509,
skipped_covered,,,BEACON HILL ROAD,筆架山道,1965-06-25,1572,
skipped_covered,,,BEDFORD ROAD,必發道,1927-11-25,699,
skipped_covered,,,BEECH STREET,櫸樹街,1927-11-25,699,
skipped_covered,,,BEGONIA ROAD,海棠路,1953-11-20,1420,
skipped_covered,,,BEL-AIR AVENUE,貝沙灣道,2005-08-12,3907,
skipped_covered,,,BEL-AIR PEAK AVENUE,貝沙山道,2006-08-04,4858,
skipped_covered,,,BEL-AIR PEAK AVENUE,貝沙山道,2009-02-06,851,
skipped_covered,,,BEL-AIR PEAK RISE,貝沙山徑,2007-09-21,6232,
skipped_covered,,,BEL-AIR RISE,貝沙徑,2005-08-12,3907,
skipped_covered,,,BELLEVIEW DRIVE,麗景道,1969-03-21,554,
skipped_covered,,,BERWICK STREET,巴域街,1950-06-30,804,
skipped_covered,,,BERWICK STREET,巴域街,2013-09-06,5353,
skipped_covered,,,BIG WAVE BAY ROAD,大浪灣道,1935-04-12,302,
skipped_covered,,,BIJOU DRIVE,璧如徑,2000-09-15,6058,
skipped_covered,,,BISNEY ROAD,碧荔道,1962-01-26,190,
skipped_covered,,,BLACK'S LINK,布力徑,1904-07-29,523,
skipped_covered,,,BLACK'S LINK,布力徑,1957-11-08,1495,
skipped_covered,,,BLENHEIM AVENUE,白蘭軒道,1935-04-26,334,
skipped_covered,,,BLUE POOL ROAD,藍塘道,1932-10-07,635,
skipped_covered,,,BLUFF PATH,百祿徑,1978-08-04,1958,
skipped_covered,,,BOAT STREET,艇街,1931-05-15,300,
skipped_covered,,,BOAT STREET,艇街,1931-07-10,436,
skipped_covered,,,BONHAM ROAD,般咸道,1958-06-27,865,
skipped_covered,,,BORRETT ROAD,波老道,1936-12-31,1027,
skipped_covered,,,BOUNDARY STREET,界限街,1926-02-12,68,
skipped_covered,,,BOUNDARY STREET,界限街,1926-04-16,202,
skipped_covered,,,BOUNDARY STREET,界限街,1927-11-25,699,
skipped_covered,,,BOUNDARY STREET,界限街,1929-06-21,331,
skipped_covered,,,BOUNDARY STREET,界限街,1929-08-23,427,
skipped_covered,,,BOWEN DRIVE,寶雲徑,1973-01-19,164,
skipped_covered,,,BOWEN ROAD,寶雲道,1958-01-03,16,
skipped_covered,,,BOWRING STREET,寶靈街,1909-03-19,184,
skipped_covered,,,BOYCE ROAD,布思道,1973-06-15,1541,
skipped_covered,,,BRAEMAR HILL ROAD,寶馬山道,1966-01-14,129,
skipped_covered,,,BRAGA CIRCUIT,布力架街,1936-11-06,885,
skipped_covered,,,BREWIN PATH,蒲魯賢徑,1919-09-26,450,
skipped_covered,,,BRIAR AVENUE,比雅道,1940-02-07,154,
skipped_covered,,,BRIDE'S POOL ROAD,新娘潭路,1970-04-03,713,
skipped_covered,,,BRIDE'S POOL ROAD,新娘潭路,2008-06-13,4022,
skipped_covered,,,BRIDGES STREET,必列者士街,1958-06-27,865,
skipped_covered,,,BRISTOL AVENUE,碧仙桃路,1955-08-19,925,
skipped_covered,,,BROADCAST DRIVE,廣播道,1968-01-05,26,
skipped_covered,,,BROADWAY,百老匯街,1967-12-22,2744,
skipped_covered,,,BROADWAY,百老匯街,1970-08-21,1756,
skipped_covered,,,BROADWOOD ROAD,樂活道,1915-05-21,225,
skipped_covered,,,BROOM ROAD,蟠龍道,1940-02-07,154,
skipped_covered,,,BROWN STREET,布朗街,1941-07-18,870,
skipped_covered,,,BUTE STREET,弼街,1923-09-28,411,
skipped_covered,,,BUTE STREET,弼街,1980-10-10,3244,
skipped_covered,,,BUTTERFLY VALLEY ROAD,蝴蝶谷道,1966-07-15,1808,
skipped_covered,,,BUTTERFLY VALLEY ROAD,蝴蝶谷道,1979-08-17,2082,
skipped_covered,,,CAINE LANE,堅巷,1887-09-03,356,
skipped_covered,,,CAINE LANE,堅巷,1978-02-03,286,
skipped_covered,,,CALDECOTT ROAD,郝德傑道,1964-09-25,2693,
skipped_covered,,,CAMBRIDGE ROAD,劍橋道,1951-05-18,522,
skipped_covered,,,CAMERON LANE,金馬倫里,1954-08-27,1068,
skipped_covered,,,CAMP STREET,營盤街,1934-02-09,91,
skipped_covered,,,CANAL ROAD EAST,堅拿道東,1929-06-14,312,
skipped_covered,,,CANAL ROAD WEST,堅拿道西,1929-06-14,312,
skipped_covered,,,CANNON STREET,景隆街,1961-07-07,1136,
skipped_covered,,,CANNON STREET,景隆街,1962-01-19,122,
skipped_covered,,,CANTON ROAD,廣東道,1909-03-19,184,
skipped_covered,,,CANTON ROAD,廣東道,1927-11-25,699,
skipped_covered,,,CANTON ROAD,廣東道,1956-06-08,717,
skipped_covered,,,CAPE COLLINSON ROAD,歌連臣角道,1957-11-08,1495,
skipped_covered,,,CAPE D'AGUILAR ROAD,鶴咀道,1935-04-12,302,
skipped_covered,,,CAPE D'AGUILAR ROAD,鶴咀道,1998-05-08,2277,
skipped_covered,,,CAPE DRIVE,環角徑,1972-02-04,316,
skipped_covered,,,CAPE ROAD,環角道,1972-02-04,316,
skipped_covered,,,CAPE ROAD,環角道,1995-05-26,1902,
skipped_covered,,,CAPELAND DRIVE,蘅安徑,1994-11-18,4386,
skipped_covered,,,CAPERIDGE DRIVE,蘅欣徑,1994-11-18,4386,
skipped_covered,,,CAPEVALE DRIVE,蘅暉徑,1994-11-18,4386,
skipped_covered,,,CARMEL ROAD,佳美道,1953-04-10,472,
skipped_covered,,,CARMEL ROAD,佳美道,2003-05-02,3019,
skipped_covered,,,CARMEL VILLAGE STREET,迦密村街,1973-10-26,2809,
skipped_covered,,,CARNARVON ROAD,加拿分道,1958-06-27,865,
skipped_covered,,,CARPENTER ROAD,賈炳達道,1933-05-12,340,
skipped_covered,,,CARPENTER ROAD,賈炳達道,1967-02-24,428,
skipped_covered,,,CARPENTER ROAD,賈炳達道,1968-08-02,1597,
skipped_covered,,,CARPENTER ROAD,賈炳達道,1968-09-13,1853,
skipped_covered,,,CASSIA ROAD,高槐路,1953-11-20,1420,
skipped_covered,,,CASTLE LANE,衞城里,1956-09-28,1241,
skipped_covered,,,CASTLE PEAK ROAD,青山道,1926-04-16,201,
skipped_covered,,,CASTLE PEAK ROAD - CASTLE PEAK BAY,青山公路 － 青山灣段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - CASTLE PEAK BAY,青山公路 － 青山灣段,1992-05-29,1864,
skipped_covered,,,CASTLE PEAK ROAD - CHAU TAU,青山公路 － 洲頭段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - HUNG SHUI KIU,青山公路 － 洪水橋段,1968-08-23,1737,
skipped_covered,,,CASTLE PEAK ROAD - KWAI CHUNG,青山公路 － 葵涌段,1968-06-28,1349,
skipped_covered,,,CASTLE PEAK ROAD - KWU TUNG,青山公路 － 古洞段,1968-10-04,2022,
skipped_covered,,,CASTLE PEAK ROAD - LAM TEI,青山公路 － 藍地段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - LAM TEI,青山公路 － 藍地段,1993-03-19,943,
skipped_covered,,,CASTLE PEAK ROAD - LINGNAN,青山公路 － 嶺南段,1995-01-20,246,
skipped_covered,,,CASTLE PEAK ROAD - MAI PO,青山公路 － 米埔段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - NEW TAI LAM,青山公路 － 新大欖段,2007-07-06,4397,
skipped_covered,,,CASTLE PEAK ROAD - NEW TING KAU,青山公路 － 新汀九段,2005-03-18,1292,
skipped_covered,,,CASTLE PEAK ROAD - NEW TING KAU,青山公路 － 新汀九段,2006-03-31,2190,
skipped_covered,,,CASTLE PEAK ROAD - PING SHAN,青山公路 － 屏山段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,1981-12-18,3760,
skipped_covered,,,CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,1991-11-08,3985,
skipped_covered,,,CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,1992-01-10,164,
skipped_covered,,,CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,1994-12-09,4724,
skipped_covered,,,CASTLE PEAK ROAD - SAN TIN,青山公路 － 新田段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,1968-06-28,1349,
skipped_covered,,,CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,2005-10-07,5146,
skipped_covered,,,CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,2006-03-31,2191,
skipped_covered,,,CASTLE PEAK ROAD - SO KWUN WAT,青山公路 － 掃管笏段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - TAI LAM,青山公路 － 大欖段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - TAM MI,青山公路 － 潭尾段,1968-08-02,1595,
skipped_covered,,,CASTLE PEAK ROAD - TAM MI,青山公路 － 潭尾段,1998-11-06,5414,
skipped_covered,,,CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,1968-06-28,1349,
skipped_covered,,,CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,2005-03-18,1293,
skipped_covered,,,CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,2005-04-08,1701,
skipped_covered,,,CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,2006-03-31,2191,
skipped_covered,,,CASTLE PEAK ROAD - TSING LUNG TAU,青山公路 － 青龍頭段,1968-06-28,1349,
skipped_covered,,,CASTLE PEAK ROAD - TSING LUNG TAU,青山公路 － 青龍頭段,2005-10-07,5146,
skipped_covered,,,CASTLE PEAK ROAD - TSUEN WAN,青山公路 － 荃灣段,1968-06-28,1349,
skipped_covered,,,CASTLE PEAK ROAD - YUEN LONG,青山公路 － 元朗段,1968-08-02,1595,
skipped_covered,,,CATCHICK STREET,吉席街,1909-03-19,184,
skipped_covered,,,CATERING ROAD CENTRAL,航膳中路,1998-01-02,73,
skipped_covered,,,CATERING ROAD EAST,航膳東路,1998-01-02,73,
skipped_covered,,,CATERING ROAD WEST,航膳西路,1998-01-02,73,
skipped_covered,,,CEDAR STREET,柏樹街,1927-11-25,699,
skipped_covered,,,CENTRAL KOWLOON BYPASS,中九龍繞道,2025-11-21,7381,
skipped_covered,,,CENTRAL WAN CHAI BYPASS,中環灣仔繞道,2026-07-03,4034,
skipped_covered,,,CHA KWO LING ROAD,茶果嶺道,1967-03-03,486,
skipped_covered,,,CHA KWO LING ROAD,茶果嶺道,1967-03-17,603,
skipped_covered,,,CHA KWO LING ROAD,茶果嶺道,1991-08-02,2728,
skipped_covered,,,CHAI KEK ROAD,寨乪路,2011-12-02,7901,
skipped_covered,,,CHAI WAN KOK STREET,柴灣角街,1962-11-23,2378,
skipped_covered,,,CHAI WAN ROAD,柴灣道,1961-08-04,1335,
skipped_covered,,,CHAI WAN ROAD,柴灣道,1974-05-31,1380,
skipped_covered,,,CHAI WAN ROAD,柴灣道,1974-08-23,2175,
skipped_covered,,,CHAI WAN ROAD,柴灣道,1984-03-30,970,
skipped_covered,,,CHAK CHEUNG STREET,澤祥街,2000-10-27,7062,
skipped_covered,,,CHAK CHEUNG STREET,澤祥街,2007-06-15,3924,
skipped_covered,,,CHAK FUNG STREET,澤豐街,1990-11-30,4335,
skipped_covered,,,CHAK ON ROAD,澤安道,1987-09-18,3107,
skipped_covered,,,CHAK ON ROAD,澤安道,2001-07-20,4393,
skipped_covered,,,CHAK ON ROAD,澤安道,2001-08-03,4784,
skipped_covered,,,CHAK ON ROAD SOUTH,澤安道南,2001-07-20,4393,
skipped_covered,,,CHAK YAN ROAD,澤欣路,2004-12-17,8104,
skipped_covered,,,CHAN MAN STREET,親民街,1985-12-27,4229,
skipped_covered,,,CHANG FA AVENUE,橙花路,1970-03-06,536,
skipped_covered,,,CHANGSHA STREET,長沙街,1909-03-19,184,
skipped_covered,,,CHAP FUK ROAD,集福路,1993-02-19,554,
skipped_covered,,,CHAP WAI KON STREET,插桅杆街,1982-12-17,3954,
skipped_covered,,,CHATER ROAD,遮打道,1958-06-27,865,
skipped_covered,,,CHATHAM COURT,漆咸圍,1949-08-19,787,
skipped_covered,,,CHATHAM PATH,漆咸徑,1919-09-26,450,
skipped_covered,,,CHATHAM ROAD NORTH,漆咸道北,1979-01-12,111,
skipped_covered,,,CHATHAM ROAD SOUTH,漆咸道南,1979-01-12,111,
skipped_covered,,,CHAU TAU SOUTH ROAD,洲頭南路,2000-03-31,2030,
skipped_covered,,,CHAU TAU WEST ROAD,洲頭西路,2000-03-31,2030,
skipped_covered,,,CHE FONG STREET,智芳街,1974-04-19,1023,
skipped_covered,,,CHE KENG TUK ROAD,輋徑篤路,1991-05-24,1786,
skipped_covered,,,CHE KUNG MIU ROAD,車公廟路,1981-09-18,2794,
skipped_covered,,,CHE KUNG MIU ROAD,車公廟路,1983-12-23,3977,
skipped_covered,,,CHE PING STREET,車坪街,1983-04-29,1316,
skipped_covered,,,CHEK LAP KOK ROAD,赤鱲角路,2017-03-10,1273,
skipped_covered,,,CHEK LAP KOK ROAD,赤鱲角路,2026-05-22,2981,
skipped_covered,,,CHEK LAP KOK SOUTH ROAD,赤鱲角南路,1997-04-25,2008,
skipped_covered,,,CHEK LAP KOK SOUTH ROAD,赤鱲角南路,1998-01-02,73,
skipped_covered,,,CHENGTU ROAD,成都道,1941-10-24,1261,
skipped_covered,,,CHEONG HANG LANE,暢行里,1979-06-22,1564,
skipped_covered,,,CHEONG HANG ROAD,暢行道,1975-07-11,1541,
skipped_covered,,,CHEONG HING ROAD,暢興路,1998-01-02,73,
skipped_covered,,,CHEONG HING ROAD,暢興路,2005-11-11,5908,
skipped_covered,,,CHEONG HING ROAD,暢興路,2022-05-13,2362,
skipped_covered,,,CHEONG HONG ROAD,暢航路,1998-01-02,73,
skipped_covered,,,CHEONG HONG ROAD,暢航路,2019-07-26,4781,
skipped_covered,,,CHEONG KING ROAD,暢景路,2005-11-11,5907,
skipped_covered,,,CHEONG LIN ROAD,暢連路,1998-01-02,73,
skipped_covered,,,CHEONG LIN ROAD,暢連路,2001-05-04,2840,
skipped_covered,,,CHEONG MING STREET,昌明街,1930-03-07,138,
skipped_covered,,,CHEONG SAN LANE,昌新里,1990-01-25,333,
skipped_covered,,,CHEONG SHING PATH,昌盛徑,1983-06-03,1752,
skipped_covered,,,CHEONG SHUN ROAD,暢順路,2005-08-05,3798,
skipped_covered,,,CHEONG TAI STREET,昌泰街,1973-03-16,704,
skipped_covered,,,CHEONG TAT ROAD,暢達路,1998-01-02,73,
skipped_covered,,,CHEONG TAT ROAD,暢達路,2005-08-05,3799,
skipped_covered,,,CHEONG TAT ROAD,暢達路,2022-05-13,2362,
skipped_covered,,,CHEONG TUNG ROAD,暢通道,1988-03-04,711,
skipped_covered,,,CHEONG TUNG ROAD SOUTH,暢通道南,1999-08-20,4818,
skipped_covered,,,CHEONG WAN ROAD,暢運道,1976-03-05,528,
skipped_covered,,,CHEONG WAN ROAD,暢運道,2001-03-09,1565,
skipped_covered,,,CHEONG WAN ROAD,暢運道,2015-11-13,8864,
skipped_covered,,,CHEONG WING ROAD,暢榮路,1998-01-02,73,
skipped_covered,,,CHEONG WING ROAD,暢榮路,2008-04-25,2781,
skipped_covered,,,CHEONG WONG ROAD,暢旺路,1998-01-02,73,
skipped_covered,,,CHEONG WONG ROAD,暢旺路,2001-05-04,2840,
skipped_covered,,,CHEONG WONG ROAD,暢旺路,2005-11-11,5908,
skipped_covered,,,CHEONG WONG ROAD,暢旺路,2026-05-22,2981,
skipped_covered,,,CHEONG WUI ROAD,暢匯路,2007-02-23,1406,
skipped_covered,,,CHEONG WUI ROAD,暢匯路,2026-05-22,2981,
skipped_covered,,,CHEONG YIP ROAD,暢業路,1998-01-02,73,
skipped_covered,,,CHEONG YIP ROAD,暢業路,2026-05-22,2981,
skipped_covered,,,CHERRY STREET,櫻桃街,1954-12-24,1562,
skipped_covered,,,CHERRY STREET,櫻桃街,1998-05-29,2633,
skipped_covered,,,CHESTER ROAD,志士達道,1950-07-21,867,
skipped_covered,,,CHEUK WAN STREET,卓運街,1995-01-13,153,
skipped_covered,,,CHEUNG CHAU BEACH ROAD,長洲東堤路,1985-07-05,2166,
skipped_covered,,,CHEUNG CHAU CHURCH ROAD,長洲教堂路,1985-07-05,2166,
skipped_covered,,,CHEUNG CHAU ELECTRIC PATH,長洲電廠徑,2008-12-05,8315,
skipped_covered,,,CHEUNG CHAU HOSPITAL ROAD,長洲醫院路,1985-07-05,2166,
skipped_covered,,,CHEUNG CHAU PEAK ROAD,長洲山頂道,2008-07-11,4752,
skipped_covered,,,CHEUNG CHAU PEAK ROAD WEST,長洲山頂道西,2008-07-11,4752,
skipped_covered,,,CHEUNG CHAU SAI TAI ROAD,長洲西堤道,1990-12-07,4413,
skipped_covered,,,CHEUNG CHAU SAI TAI ROAD,長洲西堤道,2000-10-13,6669,
skipped_covered,,,CHEUNG CHAU SPORTS ROAD,長洲體育路,1985-07-05,2166,
skipped_covered,,,CHEUNG CHI LANE,長智巷,1990-12-07,4413,
skipped_covered,,,CHEUNG FAI ROAD,長輝路,1983-12-02,3793,
skipped_covered,,,CHEUNG FAI ROAD,長輝路,2004-10-15,6705,
skipped_covered,,,CHEUNG FAT STREET,長發街,1934-02-09,91,
skipped_covered,,,CHEUNG FU STREET,長富街,1986-11-21,4035,
skipped_covered,,,CHEUNG HANG ROAD,長坑路,1983-03-11,776,
skipped_covered,,,CHEUNG HO STREET,長好街,1985-03-22,915,
skipped_covered,,,CHEUNG HONG STREET,長康街,1933-07-28,511,
skipped_covered,,,CHEUNG KIN ROAD,長健路,1990-12-07,4413,
skipped_covered,,,CHEUNG KWAI ROAD,長貴路,1985-08-09,2597,
skipped_covered,,,CHEUNG LAI STREET,長荔街,1976-06-18,1302,
skipped_covered,,,CHEUNG LEE STREET,祥利街,1966-07-08,1759,
skipped_covered,,,CHEUNG LEK MEI STREET,長瀝尾街,1981-06-12,1685,
skipped_covered,,,CHEUNG LUNG STREET,長隆街,1983-12-02,3793,
skipped_covered,,,CHEUNG MAN ROAD,祥民道,1973-10-19,2719,
skipped_covered,,,CHEUNG MAN ROAD,祥民道,1993-06-04,1914,
skipped_covered,,,CHEUNG MOU STREET,長茂街,1976-06-18,1302,
skipped_covered,,,CHEUNG NING STREET,長寧街,1931-02-13,86,
skipped_covered,,,CHEUNG PAK ROAD,長北路,1991-07-19,2509,
skipped_covered,,,CHEUNG PEI SHAN ROAD,象鼻山路,1983-11-04,3497,
skipped_covered,,,CHEUNG PEI SHAN ROAD,象鼻山路,1990-04-06,1265,
skipped_covered,,,CHEUNG PEI SHAN ROAD,象鼻山路,2006-03-03,1460,
skipped_covered,,,CHEUNG SHA WAN PATH,長沙灣徑,1976-06-18,1302,
skipped_covered,,,CHEUNG SHA WAN ROAD,長沙灣道,1923-09-28,411,
skipped_covered,,,CHEUNG SHA WAN ROAD,長沙灣道,1927-11-25,699,
skipped_covered,,,CHEUNG SHA WAN ROAD,長沙灣道,1978-10-13,2641,
skipped_covered,,,CHEUNG SHA WAN ROAD,長沙灣道,2019-07-26,4780,
skipped_covered,,,CHEUNG SHAN ESTATE ROAD EAST,象山邨東路,1984-01-27,287,
skipped_covered,,,CHEUNG SHAN ESTATE ROAD WEST,象山邨西路,1984-01-27,287,
skipped_covered,,,CHEUNG SHAN ESTATE ROAD WEST,象山邨西路,1990-11-02,3966,
skipped_covered,,,CHEUNG SHEK ROAD,長碩路,1990-12-07,4413,
skipped_covered,,,CHEUNG SHING STREET,長城街,1986-01-17,245,
skipped_covered,,,CHEUNG SHUE TAN ROAD,樟樹灘路,2005-08-05,3797,
skipped_covered,,,CHEUNG SHUN STREET,長順街,1976-06-18,1302,
skipped_covered,,,CHEUNG TAI ROAD,樟大路,2013-11-01,6570,
skipped_covered,,,CHEUNG TAK LANE,祥德里,1966-12-09,3091,
skipped_covered,,,CHEUNG TAT ROAD,長達路,1983-12-02,3793,
skipped_covered,,,CHEUNG TSING HIGHWAY,長青公路,1997-08-29,1008,
skipped_covered,,,CHEUNG TSING HIGHWAY,長青公路,1998-02-27,994,
skipped_covered,,,CHEUNG TSING HIGHWAY,長青公路,2009-12-18,7995,
skipped_covered,,,CHEUNG TSING TUNNEL,長青隧道,1997-08-29,1008,
skipped_covered,,,CHEUNG TSUN ROAD,長俊路,1990-12-07,4413,
skipped_covered,,,CHEUNG TUNG ROAD,翔東路,1997-08-29,1006,
skipped_covered,,,CHEUNG WAH STREET,昌華街,1934-02-09,91,
skipped_covered,,,CHEUNG WAN STREET,長環街,1979-07-06,1702,
skipped_covered,,,CHEUNG WING ROAD,昌榮路,1970-03-06,535,
skipped_covered,,,CHEUNG WING ROAD,昌榮路,2004-07-09,4431,
skipped_covered,,,CHEUNG WONG ROAD,長旺道,1969-05-09,883,
skipped_covered,,,CHEUNG WOO LANE,祥和里,1973-06-08,1472,
skipped_covered,,,CHEUNG YAN LANE,長仁巷,1990-12-07,4413,
skipped_covered,,,CHEUNG YAN LANE,長仁巷,1990-12-14,4496,
skipped_covered,,,CHEUNG YEE STREET,長義街,1976-06-18,1302,
skipped_covered,,,CHEUNG YIP STREET,祥業街,1979-11-09,2898,
skipped_covered,,,CHEUNG YIP STREET,祥業街,1984-04-19,1193,
skipped_covered,,,CHEUNG YIP STREET,祥業街,1984-10-26,3136,
skipped_covered,,,CHEUNG YIP STREET,祥業街,2021-06-25,3898,
skipped_covered,,,CHEUNG YUE STREET,長裕街,1976-06-18,1302,
skipped_covered,,,CHEUNG YUEN ROAD,長源路,1983-03-11,775,
skipped_covered,,,CHEUNG YUEN ROAD,長源路,2004-12-10,7971,
skipped_covered,,,CHI CHEONG ROAD,智昌路,1994-01-28,337,
skipped_covered,,,CHI FAI PATH,志輝徑,1986-08-15,2817,
skipped_covered,,,CHI FU CLOSE,置富徑,1979-05-11,1195,
skipped_covered,,,CHI FU ROAD,置富道,1979-05-11,1195,
skipped_covered,,,CHI FUK CIRCUIT,置福圍,1995-01-13,155,
skipped_covered,,,CHI HO ROAD,治河路,1999-09-17,5409,
skipped_covered,,,CHI HO ROAD,治河路,2004-11-12,7273,
skipped_covered,,,CHI KA LANE,置嘉里,2001-12-07,7638,
skipped_covered,,,CHI KIANG STREET,浙江街,1935-04-26,334,
skipped_covered,,,CHI KIANG STREET,浙江街,1965-06-04,1392,
skipped_covered,,,CHI KIANG STREET,浙江街,2017-07-14,5003,
skipped_covered,,,CHI LIN DRIVE,志蓮道,1994-10-28,4078,
skipped_covered,,,CHI LIN DRIVE,志蓮道,2000-06-16,3865,
