risk,naming_year,naming_date,street_code,english_name,chinese_name,driving_notice,driving_type,driving_event_id,reason
"high","2013","2013-05-10","","Ha Mei Road","廈尾路","G.N.2719","declaration","2013-05-10|GN2719|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Kam Pok Road East","錦壆路東","G.N.2719","declaration","2013-05-10|GN2719|1","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Kam Pok Road West","錦壆路西","G.N.2719","declaration","2013-05-10|GN2719|2","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Kiu Sau Path","橋壽徑","G.N.2719","declaration","2013-05-10|GN2719|3","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Kiu Tak Path","橋德徑","G.N.2719","declaration","2013-05-10|GN2719|4","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-03-01","","Lok Wo Sha Lane","","G.N.1160","declaration","2013-03-01|GN1160|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-08-02","","Lung Chak Road","龍澤路","G.N.4533","declaration","2013-08-02|GN4533|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-11-01","","On Lai Street","安麗街","G.N.6569","declaration","2013-11-01|GN6569|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Ping Ha Road","","G.N.2720","declaration","2013-05-10|GN2720|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-05-10","","Tin Wah Road","天華路","G.N.2719","declaration","2013-05-10|GN2719|5","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-03-01","","Tsing Ying Road","","G.N.1161","declaration","2013-03-01|GN1161|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-08-23","","Universal Gate Road","普門路","G.N.4994","declaration","2013-08-23|GN4994|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-03-14","","","龍田街","G.N.1563","declaration","2014-03-14|GN1563|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-03-14","","","榕樹灣廣場路","G.N.1563","declaration","2014-03-14|GN1563|1","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-05-09","","","麥園圍路青亦路","G.N.2737","declaration","2014-05-09|GN2737|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-05-30","","","迎康街","G.N.3150","declaration","2014-05-30|GN3150|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-05-30","","","迎東路","G.N.3150","declaration","2014-05-30|GN3150|1","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-07-25","","Mcgregor Street","","G.N.4345","declaration","2014-07-25|GN4345|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-02-14","","Muk Ning Street","沐寧街","G.N.930","declaration","2014-02-14|GN930|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-03-28","","On Sau Road","安秀道","G.N.1857","declaration","2014-03-28|GN1857|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-02-14","","Sai Kung Rural Committee Lane","西貢鄉事會里","G.N.933","declaration","2014-02-14|GN933|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-02-14","","Shek Tin Road","石田路","G.N.931","declaration","2014-02-14|GN931|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-02-14","","Tai Ching Cheung Road","大蒸場路","G.N.932","declaration","2014-02-14|GN932|0","eGazette PDF parse may be wrong (check notice body)"
"high","2014","2014-07-11","","Yau Tin West Road","攸田西路","G.N.4022","declaration","2014-07-11|GN4022|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-01-02","","","下灣村東路","G.N.166","declaration","2015-01-02|GN166|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-01-02","","","下灣村路","G.N.166","declaration","2015-01-02|GN166|1","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-06-12","","","嘉健里","G.N.4273","declaration","2015-06-12|GN4273|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-07-03","","","公庵路","G.N.4864","declaration","2015-07-03|GN4864|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-07-03","","","馬田路","G.N.4864","declaration","2015-07-03|GN4864|1","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-07-03","","","馬棠路","G.N.4864","declaration","2015-07-03|GN4864|2","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-08-28","","","安茵街","G.N.6516","declaration","2015-08-28|GN6516|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-11-13","","","馬鞍山路","G.N.8863","declaration","2015-11-13|GN8863|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-11-13","","","暢運道","G.N.8864","declaration","2015-11-13|GN8864|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-11-13","","","安運道","G.N.8864","declaration","2015-11-13|GN8864|1","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-01-23","","Concorde Road","協調道","G.N.1172","declaration","2015-01-23|GN1172|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-08-28","","Fuk Man Road","福民路","G.N.6517","declaration","2015-08-28|GN6517|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-03-13","","Hang Kai Lane","坑溪里","G.N.2181","declaration","2015-03-13|GN2181|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-01-30","","Lam Tsuen Heung Kung Sho Road","林村鄉公所路","G.N.1456","declaration","2015-01-30|GN1456|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-03-13","","Lau Yip Street","流業街","G.N.2182","declaration","2015-03-13|GN2182|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-12-24","","Lok Ma Chau Road","落馬洲路","G.N.9966","declaration","2015-12-24|GN9966|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-03-13","","Man Chat Road","文質路","G.N.2183","declaration","2015-03-13|GN2183|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-07-03","","Pak Shing Kok Road","百勝角路","G.N.4865","declaration","2015-07-03|GN4865|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-02-13","","Sam Wo Road","三和路","G.N.1690","declaration","2015-02-13|GN1690|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-11-13","","Tan Kwai Tsuen Lane","丹桂村里","G.N.8862","declaration","2015-11-13|GN8862|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-06-12","","Tramway Lane","纜車里","G.N.4274","declaration","2015-06-12|GN4274|0","eGazette PDF parse may be wrong (check notice body)"
"high","2015","2015-02-13","","Wai Yin Path","薈然徑","G.N.1691","declaration","2015-02-13|GN1691|0","eGazette PDF parse may be wrong (check notice body)"
"high","2016","2016-07-08","","Choi Hung Interchange","","G.N.3863","declaration","2016-07-08|GN3863|0","eGazette PDF parse may be wrong (check notice body)"
"high","2016","2016-05-27","","Sha Ha Path","","G.N.3021","declaration","2016-05-27|GN3021|0","eGazette PDF parse may be wrong (check notice body)"
"high","2016","2016-09-23","","Tin Yan Road","天恩路","G.N.5399","replace_description","2016-09-23|GN5399|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2016","2016-05-27","","U Lam Terrace","儒林臺","G.N.3020","notice_intention_change","2016-05-27|GN3020|0","canonical date from notice_intention_change"
"high","2016","2016-03-18","","Yiu Sing Street","耀星街","G.N.1595","replace_description","2016-03-18|GN1595|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-07-14","","Chi Kiang Street","浙江街","G.N.5003","replace_description","2017-07-14|GN5003|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Fung Cheung Road","鳳翔路","G.N.7594","replace_description","2017-10-13|GN7594|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Fung Heung Street","鳳香街","G.N.7594","replace_description","2017-10-13|GN7594|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-02-17","","Hammer Hill Road","斧山道","G.N.875","notice_intention_change","2017-02-17|GN875|0","canonical date from notice_intention_change"
"high","2017","2017-06-30","","Nga Cheung Road","雅翔道","G.N.4524","replace_description","2017-06-30|GN4524|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Shui Pin Wai Interchange","水邊圍交匯處","G.N.7594","replace_description","2017-10-13|GN7594|2","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-12-22","","Un Chau Street","元州街","G.N.9867","replace_description","2017-12-22|GN9867|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Wang Fat Path","宏發徑","G.N.7594","replace_description","2017-10-13|GN7594|3","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Wang Tat Road","宏達路","G.N.7594","replace_description","2017-10-13|GN7594|4","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-09-29","","Wing Tung Street","永東街","G.N.7315","replace_description","2017-09-29|GN7315|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-09-29","","Yau Wing Street","友榮街","G.N.7315","replace_description","2017-09-29|GN7315|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2017","2017-10-13","","Yu King Square","裕景坊","G.N.7594","replace_description","2017-10-13|GN7594|5","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-11-23","","Austin Road West","柯士甸道西","G.N.8793","replace_description","2018-11-23|GN8793|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-03-29","","Chui Yu Road","聚魚道","G.N.2324","replace_description","2018-03-29|GN2324|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-10-05","","Hong Chong Road","康莊道","G.N.7463","replace_description","2018-10-05|GN7463|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-02-02","","King Fuk Street","景福街","G.N.649","replace_description","2018-02-02|GN649|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-11-30","","Lai Po Road","荔寶路","G.N.8969","replace_description","2018-11-30|GN8969|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-11-30","","Lin Cheung Road","連翔道","G.N.8969","replace_description","2018-11-30|GN8969|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-02-02","","Luk Hop Street","六合街","G.N.649","replace_description","2018-02-02|GN649|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-09-14","","Prince Edward Road East","太子道東","G.N.6972","replace_description","2018-09-14|GN6972|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-10-05","","Princess Margaret Road","公主道","G.N.7463","replace_description","2018-10-05|GN7463|2","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-05-04","","Shung Yiu Street","崇耀街","G.N.3296","replace_description","2018-05-04|GN3296|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-05-04","","Sin Fat Road","茜發道","G.N.3296","replace_description","2018-05-04|GN3296|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-02-02","","Sze Mei Street","四美街","G.N.649","replace_description","2018-02-02|GN649|2","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-06-01","","Tai Po Road","大埔道","G.N.4003","replace_description","2018-06-01|GN4003|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-06-01","","Wui Cheung Road","匯翔道","G.N.4004","replace_description","2018-06-01|GN4004|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2018","2018-02-02","","Yi Lun Street","彝倫街","G.N.649","replace_description","2018-02-02|GN649|3","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-07-26","","Airport Road","機場路","G.N.4781","replace_description","2019-07-26|GN4781|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-07-26","","Cheong Hong Road","暢航路","G.N.4781","replace_description","2019-07-26|GN4781|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-07-26","","Cheung Sha Wan Road","長沙灣道","G.N.4780","replace_description","2019-07-26|GN4780|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-07-26","","East Coast Road","東岸路","G.N.4781","replace_description","2019-07-26|GN4781|2","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-03-15","","Fleming Road","菲林明道","G.N.1971","replace_description","2019-03-15|GN1971|3","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-03-01","","Hung Hom South Road","紅磡南道","G.N.1655","replace_description","2019-03-01|GN1655|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-03-01","","Hung Lai Road","紅荔道","G.N.1655","replace_description","2019-03-01|GN1655|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-07-26","","Kwo Lo Wan Road","過路灣路","G.N.4781","replace_description","2019-07-26|GN4781|3","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-05-31","","Lung Ma Road","龍馬路","G.N.3587","replace_description","2019-05-31|GN3587|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2019","2019-05-31","","Lung Ma Road G.n. 3544 Dated 1 September 1995","","G.N.3587","declaration","2019-05-31|GN3587|0","eGazette PDF parse may be wrong (check notice body)"
"high","2019","2019-07-26","","Tung Fai Road","東輝路","G.N.4781","replace_description","2019-07-26|GN4781|4","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-04-03","","","米埔南路","G.N.1669","declaration","2020-04-03|GN1669|0","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","","清攸徑","G.N.1669","declaration","2020-04-03|GN1669|1","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","","江埔路","G.N.1669","declaration","2020-04-03|GN1669|2","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","","高上路","G.N.1669","declaration","2020-04-03|GN1669|3","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","","梁盛路","G.N.1669","declaration","2020-04-03|GN1669|4","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","","石上路","G.N.1669","declaration","2020-04-03|GN1669|5","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-11-06","","","屯門赤鱲角隧道公路","G.N.6474","declaration","2020-11-06|GN6474|0","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-11-06","","","浩和街","G.N.6474","declaration","2020-11-06|GN6474|1","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-11-06","","","浩逸街","G.N.6474","declaration","2020-11-06|GN6474|2","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-10-16","","Gascoigne Road","加士居道","G.N.5984","replace_description","2020-10-16|GN5984|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-10-23","","Gascoigne Road Flyover","","G.N.6118","corrigendum","2020-10-23|GN6118|0","canonical date from corrigendum"
"high","2020","2020-10-23","","Hing Kwai Street","興貴街","G.N.6117","replace_description","2020-10-23|GN6117|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-06-12","","Luk Mei Tsuen Road","鹿尾村路","G.N.3237","replace_description","2020-06-12|GN3237|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-06-12","","Luk Mei Tsuen Road G.n. 1786 Dated 24 May 1991","","G.N.3237","declaration","2020-06-12|GN3237|0","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-04-03","","Nam Hing West Road","南慶西路","G.N.1670","replace_description","2020-04-03|GN1670|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-04-03","","Nam Hing West Road G.n. 3286 Dated 16 May 2003","","G.N.1670","declaration","2020-04-03|GN1670|0","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-06-12","","Shing Fung Road","承豐道","G.N.3235","replace_description","2020-06-12|GN3235|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-06-12","","Shing Fung Road G.n. 6493 Dated 28 September 2012","","G.N.3235","declaration","2020-06-12|GN3235|0","eGazette PDF parse may be wrong (check notice body)"
"high","2020","2020-10-23","","Tong Hang Road","塘亨路","G.N.6117","replace_description","2020-10-23|GN6117|1","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-10-23","","Tsz Tin Road","紫田路","G.N.6117","replace_description","2020-10-23|GN6117|2","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-08-07","","Wing Fook Street","永福街","G.N.4509","replace_description","2020-08-07|GN4509|0","canonical date from 取代街道說明 (likely needs Previous G.N.)"
"high","2020","2020-08-07","","Wing Fook Street G.n. 1982 Dated 2 August 1974","","G.N.4509","declaration","2020-08-07|GN4509|0","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-02-05","","","尾逢路","G.N.708","declaration","2021-02-05|GN708|0","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-02-05","","","水尾路","G.N.708","declaration","2021-02-05|GN708|1","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-05-28","","","安愉道","G.N.3262","declaration","2021-05-28|GN3262|0","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-05-28","","","安愉徑","G.N.3262","declaration","2021-05-28|GN3262|1","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-05-28","","","安健道","G.N.3262","declaration","2021-05-28|GN3262|2","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-05-28","","","安禧街","G.N.3262","declaration","2021-05-28|GN3262|3","eGazette PDF parse may be wrong (check notice body)"
"high","2021","2021-06-25","","","啟德橋道","G.N.3897","declaration","2021-06-25|GN3897|0","eGazette PDF parse may be wrong (check notice body)"
