english_name,chinese_name,district_code,district_en,district_zh,gazette_date,gazette_notice,gazette_date_raw
ARGYLE STREET,亞皆老街,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1974-11-08,2789,27341
ARRAN LANE,雅蘭里,YTM,Yau Tsim Mong,油尖旺,1988-01-29,307,32171
ARRAN STREET,鴉蘭街,YTM,Yau Tsim Mong,油尖旺,1923-09-28,411,8672
ASH STREET,槐樹街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
AU PUI WAN STREET,㘭背灣街,ST,Sha Tin,沙田,1981-08-14,2405,29812
AUSTIN ROAD WEST,柯士甸道西,YTM,Yau Tsim Mong,油尖旺,1998-11-13,5530,36112
AUSTIN ROAD WEST,柯士甸道西,YTM,Yau Tsim Mong,油尖旺,2004-03-12,1737,38058
AUSTIN ROAD WEST,柯士甸道西,YTM,Yau Tsim Mong,油尖旺,2018-11-23,8793,43427
BABINGTON PATH,巴丙頓道,C&W,Central  &  Western,中西區,1904-01-29,59,1490
BAILEY STREET,庇利街,KC,Kowloon  City,九龍城,1935-04-26,334,12900
BAILEY STREET,庇利街,KC,Kowloon  City,九龍城,1991-01-04,53,33242
BAKER COURT,必嘉圍,KC,Kowloon  City,九龍城,1958-06-27,865,21363
BAKER STREET,必嘉街,KC,Kowloon  City,九龍城,1958-06-27,865,21363
BAKER STREET,必嘉街,KC,Kowloon  City,九龍城,1980-05-23,1581,29364
BAKER STREET,必嘉街,KC,Kowloon  City,九龍城,1986-10-17,3601,31702
BANK STREET,銀行街,C&W,Central  &  Western,中西區,1974-07-19,1822,27229
BAPTIST UNIVERSITY ROAD,浸會大學道,KC,Kowloon  City,九龍城,1996-10-11,4665,35349
BARKER ROAD,白加道,C&W,Central  &  Western,中西區,1898-11-05,490,5/11/1898
BATTERY PATH,炮台里,C&W,Central  &  Western,中西區,1958-06-27,865,21363
BATTERY STREET,炮台街,YTM,Yau Tsim Mong,油尖旺,1930-01-17,39,10975
BATTERY STREET,炮台街,YTM,Yau Tsim Mong,油尖旺,1941-10-31,1282,15280
BAUHINIA ROAD EAST,紫荊東路,YL,Yuen Long,元朗,1985-08-02,2525,31261
BAUHINIA ROAD NORTH,紫荊北路,YL,Yuen Long,元朗,1985-08-02,2525,31261
BAUHINIA ROAD WEST,紫荊西路,YL,Yuen Long,元朗,1985-08-02,2525,31261
BAYSIDE DRIVE,堤畔徑,Is,Islands,離島,2012-07-13,4805,41103
BEACH ROAD,海灘道,S,Southern,南區,1935-04-12,302,12886
BEACON HILL ROAD,筆架山道,KC,Kowloon  City,九龍城,1957-04-05,509,20915
BEACON HILL ROAD,筆架山道,KC,Kowloon  City,九龍城,1965-06-25,1572,23918
BEDFORD ROAD,必發道,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
BEECH STREET,櫸樹街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
BEGONIA ROAD,海棠路,SSP,Sham  Shui  Po,深水埗,1953-11-20,1420,19683
BEL-AIR AVENUE,貝沙灣道,S,Southern,南區,2005-08-12,3907,38576
BEL-AIR PEAK AVENUE,貝沙山道,S,Southern,南區,2006-08-04,4858,38933
BEL-AIR PEAK AVENUE,貝沙山道,S,Southern,南區,2009-02-06,851,39850
BEL-AIR PEAK RISE,貝沙山徑,S,Southern,南區,2007-09-21,6232,39346
BEL-AIR RISE,貝沙徑,S,Southern,南區,2005-08-12,3907,38576
BELLEVIEW DRIVE,麗景道,S,Southern,南區,1969-03-21,554,25283
BERWICK STREET,巴域街,SSP,Sham  Shui  Po,深水埗,1950-06-30,804,18444
BERWICK STREET,巴域街,SSP,Sham  Shui  Po,深水埗,2013-09-06,5353,41523
BIG WAVE BAY ROAD,大浪灣道,S,Southern,南區,1935-04-12,302,12886
BIJOU DRIVE,璧如徑,Is,Islands,離島,2000-09-15,6058,36784
BISNEY ROAD,碧荔道,S,Southern,南區,1962-01-26,190,22672
BLACK'S LINK,布力徑,WC,Wan  Chai,灣仔,1904-07-29,523,1672
BLACK'S LINK,布力徑,WC,Wan  Chai,灣仔,1957-11-08,1495,21132
BLENHEIM AVENUE,白蘭軒道,YTM,Yau Tsim Mong,油尖旺,1935-04-26,334,12900
BLUE POOL ROAD,藍塘道,WC,Wan  Chai,灣仔,1932-10-07,635,11969
BLUFF PATH,百祿徑,C&W,Central  &  Western,中西區,1978-08-04,1958,28706
BOAT STREET,艇街,E,Eastern,東區,1931-05-15,300,11458
BOAT STREET,艇街,E,Eastern,東區,1931-07-10,436,11514
BONHAM ROAD,般咸道,C&W,Central  &  Western,中西區,1958-06-27,865,21363
BORRETT ROAD,波老道,C&W,Central  &  Western,中西區,1936-12-31,1027,13515
BOUNDARY STREET,界限街,KC-YTM-SSP,Kowloon  City / Yau Tsim Mong / Sham  Shui  Po,九龍城 / 油尖旺 / 深水埗,1926-02-12,68,9540
BOUNDARY STREET,界限街,KC-YTM-SSP,Kowloon  City / Yau Tsim Mong / Sham  Shui  Po,九龍城 / 油尖旺 / 深水埗,1926-04-16,202,9603
BOUNDARY STREET,界限街,KC-YTM-SSP,Kowloon  City / Yau Tsim Mong / Sham  Shui  Po,九龍城 / 油尖旺 / 深水埗,1927-11-25,699,10191
BOUNDARY STREET,界限街,KC-YTM-SSP,Kowloon  City / Yau Tsim Mong / Sham  Shui  Po,九龍城 / 油尖旺 / 深水埗,1929-06-21,331,10765
BOUNDARY STREET,界限街,KC-YTM-SSP,Kowloon  City / Yau Tsim Mong / Sham  Shui  Po,九龍城 / 油尖旺 / 深水埗,1929-08-23,427,10828
BOWEN DRIVE,寶雲徑,C&W-WC,Central  &  Western / Wan  Chai,中西區 / 灣仔,1973-01-19,164,26683
BOWEN ROAD,寶雲道,C&W-WC,Central  &  Western / Wan  Chai,中西區 / 灣仔,1958-01-03,16,21188
BOWRING STREET,寶靈街,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
BOYCE ROAD,布思道,WC,Wan  Chai,灣仔,1973-06-15,1541,26830
BRAEMAR HILL ROAD,寶馬山道,E,Eastern,東區,1966-01-14,129,24121
BRAGA CIRCUIT,布力架街,KC,Kowloon  City,九龍城,1936-11-06,885,13460
BREWIN PATH,蒲魯賢徑,C&W,Central  &  Western,中西區,1919-09-26,450,7209
BRIAR AVENUE,比雅道,WC,Wan  Chai,灣仔,1940-02-07,154,14648
BRIDE'S POOL ROAD,新娘潭路,N-TP,North / Tai  Po,北區 / 大埔,1970-04-03,713,25661
BRIDE'S POOL ROAD,新娘潭路,N-TP,North / Tai  Po,北區 / 大埔,2008-06-13,4022,39612
BRIDGES STREET,必列者士街,C&W,Central  &  Western,中西區,1958-06-27,865,21363
BRISTOL AVENUE,碧仙桃路,YTM,Yau Tsim Mong,油尖旺,1955-08-19,925,20320
BROADCAST DRIVE,廣播道,KC,Kowloon  City,九龍城,1968-01-05,26,24842
BROADWAY,百老匯街,SSP,Sham  Shui  Po,深水埗,1967-12-22,2744,24828
BROADWAY,百老匯街,SSP,Sham  Shui  Po,深水埗,1970-08-21,1756,25801
BROADWOOD ROAD,樂活道,WC,Wan  Chai,灣仔,1915-05-21,225,5620
BROOM ROAD,蟠龍道,WC,Wan  Chai,灣仔,1940-02-07,154,14648
BROWN STREET,布朗街,WC,Wan  Chai,灣仔,1941-07-18,870,15175
BUTE STREET,弼街,YTM,Yau Tsim Mong,油尖旺,1923-09-28,411,8672
BUTE STREET,弼街,YTM,Yau Tsim Mong,油尖旺,1980-10-10,3244,29504
BUTTERFLY VALLEY ROAD,蝴蝶谷道,SSP,Sham  Shui  Po,深水埗,1966-07-15,1808,24303
BUTTERFLY VALLEY ROAD,蝴蝶谷道,SSP,Sham  Shui  Po,深水埗,1979-08-17,2082,29084
CAINE LANE,堅巷,C&W,Central  &  Western,中西區,1978-02-03,286,28524
CAINE LANE,堅巷,C&W,Central  &  Western,中西區,1887-09-03,356,3/9/1887
CALDECOTT ROAD,郝德傑道,SSP,Sham  Shui  Po,深水埗,1964-09-25,2693,23645
CAMBRIDGE ROAD,劍橋道,KC,Kowloon  City,九龍城,1951-05-18,522,18766
CAMERON LANE,金馬倫里,YTM,Yau Tsim Mong,油尖旺,1954-08-27,1068,19963
CAMP STREET,營盤街,SSP,Sham  Shui  Po,深水埗,1934-02-09,91,12459
CANAL ROAD EAST,堅拿道東,WC,Wan  Chai,灣仔,1929-06-14,312,10758
CANAL ROAD WEST,堅拿道西,WC,Wan  Chai,灣仔,1929-06-14,312,10758
CANNON STREET,景隆街,WC,Wan  Chai,灣仔,1961-07-07,1136,22469
CANNON STREET,景隆街,WC,Wan  Chai,灣仔,1962-01-19,122,22665
CANTON ROAD,廣東道,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
CANTON ROAD,廣東道,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
CANTON ROAD,廣東道,YTM,Yau Tsim Mong,油尖旺,1956-06-08,717,20614
CAPE COLLINSON ROAD,歌連臣角道,E,Eastern,東區,1957-11-08,1495,21132
CAPE D'AGUILAR ROAD,鶴咀道,S,Southern,南區,1935-04-12,302,12886
CAPE D'AGUILAR ROAD,鶴咀道,S,Southern,南區,1998-05-08,2277,35923
CAPE DRIVE,環角徑,S,Southern,南區,1972-02-04,316,26333
CAPE ROAD,環角道,S,Southern,南區,1972-02-04,316,26333
CAPE ROAD,環角道,S,Southern,南區,1995-05-26,1902,34845
CAPELAND DRIVE,蘅安徑,Is,Islands,離島,1994-11-18,4386,34656
CAPERIDGE DRIVE,蘅欣徑,Is,Islands,離島,1994-11-18,4386,34656
CAPEVALE DRIVE,蘅暉徑,Is,Islands,離島,1994-11-18,4386,34656
CARMEL ROAD,佳美道,S,Southern,南區,1953-04-10,472,19459
CARMEL ROAD,佳美道,S,Southern,南區,2003-05-02,3019,37743
CARMEL VILLAGE STREET,迦密村街,KC,Kowloon  City,九龍城,1973-10-26,2809,26963
CARNARVON ROAD,加拿分道,YTM,Yau Tsim Mong,油尖旺,1958-06-27,865,21363
CARPENTER ROAD,賈炳達道,KC,Kowloon  City,九龍城,1933-05-12,340,12186
CARPENTER ROAD,賈炳達道,KC,Kowloon  City,九龍城,1967-02-24,428,24527
CARPENTER ROAD,賈炳達道,KC,Kowloon  City,九龍城,1968-08-02,1597,25052
CARPENTER ROAD,賈炳達道,KC,Kowloon  City,九龍城,1968-09-13,1853,25094
CASSIA ROAD,高槐路,SSP,Sham  Shui  Po,深水埗,1953-11-20,1420,19683
CASTLE LANE,衞城里,C&W,Central  &  Western,中西區,1956-09-28,1241,20726
CASTLE PEAK ROAD,青山道,SSP,Sham  Shui  Po,深水埗,1926-04-16,201,9603
CASTLE PEAK ROAD - CASTLE PEAK BAY,青山公路 － 青山灣段,TM,Tuen  Mun,屯門,1968-08-02,1595,25052
CASTLE PEAK ROAD - CASTLE PEAK BAY,青山公路 － 青山灣段,TM,Tuen  Mun,屯門,1992-05-29,1864,33753
CASTLE PEAK ROAD - CHAU TAU,青山公路 － 洲頭段,N-YL,North / Yuen Long,北區 / 元朗,1968-08-02,1595,25052
CASTLE PEAK ROAD - HUNG SHUI KIU,青山公路 － 洪水橋段,TM-YL,Tuen  Mun / Yuen Long,屯門 / 元朗,1968-08-23,1737,25073
CASTLE PEAK ROAD - KWAI CHUNG,青山公路 － 葵涌段,K&T-TW,Kwai  Tsing / Tsuen  Wan,葵青 / 荃灣,1968-06-28,1349,25017
CASTLE PEAK ROAD - KWU TUNG,青山公路 － 古洞段,N,North,北區,1968-10-04,2022,25115
CASTLE PEAK ROAD - LAM TEI,青山公路 － 藍地段,TM,Tuen  Mun,屯門,1968-08-02,1595,25052
CASTLE PEAK ROAD - LAM TEI,青山公路 － 藍地段,TM,Tuen  Mun,屯門,1993-03-19,943,34047
CASTLE PEAK ROAD - LINGNAN,青山公路 － 嶺南段,TM,Tuen  Mun,屯門,1995-01-20,246,34719
CASTLE PEAK ROAD - MAI PO,青山公路 － 米埔段,YL,Yuen Long,元朗,1968-08-02,1595,25052
CASTLE PEAK ROAD - NEW TAI LAM,青山公路 － 新大欖段,TM,Tuen  Mun,屯門,2007-07-06,4397,39269
CASTLE PEAK ROAD - NEW TING KAU,青山公路 － 新汀九段,TW,Tsuen  Wan,荃灣,2005-03-18,1292,38429
CASTLE PEAK ROAD - NEW TING KAU,青山公路 － 新汀九段,TW,Tsuen  Wan,荃灣,2006-03-31,2190,38807
CASTLE PEAK ROAD - PING SHAN,青山公路 － 屏山段,YL,Yuen Long,元朗,1968-08-02,1595,25052
CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,TM,Tuen  Mun,屯門,1968-08-02,1595,25052
CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,TM,Tuen  Mun,屯門,1981-12-18,3760,29938
CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,TM,Tuen  Mun,屯門,1991-11-08,3985,33550
CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,TM,Tuen  Mun,屯門,1992-01-10,164,33613
CASTLE PEAK ROAD - SAN HUI,青山公路 － 新墟段,TM,Tuen  Mun,屯門,1994-12-09,4724,34677
CASTLE PEAK ROAD - SAN TIN,青山公路 － 新田段,YL,Yuen Long,元朗,1968-08-02,1595,25052
CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,TW,Tsuen  Wan,荃灣,1968-06-28,1349,25017
CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,TW,Tsuen  Wan,荃灣,2005-10-07,5146,38632
CASTLE PEAK ROAD - SHAM TSENG,青山公路 － 深井段,TW,Tsuen  Wan,荃灣,2006-03-31,2191,38807
CASTLE PEAK ROAD - SO KWUN WAT,青山公路 － 掃管笏段,TM,Tuen  Mun,屯門,1968-08-02,1595,25052
CASTLE PEAK ROAD - TAI LAM,青山公路 － 大欖段,TW-TM,Tsuen  Wan / Tuen  Mun,荃灣 / 屯門,1968-08-02,1595,25052
CASTLE PEAK ROAD - TAM MI,青山公路 － 潭尾段,YL,Yuen Long,元朗,1968-08-02,1595,25052
CASTLE PEAK ROAD - TAM MI,青山公路 － 潭尾段,YL,Yuen Long,元朗,1998-11-06,5414,36105
CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,TW,Tsuen  Wan,荃灣,1968-06-28,1349,25017
CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,TW,Tsuen  Wan,荃灣,2005-03-18,1293,38429
CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,TW,Tsuen  Wan,荃灣,2005-04-08,1701,38450
CASTLE PEAK ROAD - TING KAU,青山公路 － 汀九段,TW,Tsuen  Wan,荃灣,2006-03-31,2191,38807
CASTLE PEAK ROAD - TSING LUNG TAU,青山公路 － 青龍頭段,TW,Tsuen  Wan,荃灣,1968-06-28,1349,25017
CASTLE PEAK ROAD - TSING LUNG TAU,青山公路 － 青龍頭段,TW,Tsuen  Wan,荃灣,2005-10-07,5146,38632
CASTLE PEAK ROAD - TSUEN WAN,青山公路 － 荃灣段,TW,Tsuen  Wan,荃灣,1968-06-28,1349,25017
CASTLE PEAK ROAD - YUEN LONG,青山公路 － 元朗段,YL,Yuen Long,元朗,1968-08-02,1595,25052
CATCHICK STREET,吉席街,C&W,Central  &  Western,中西區,1909-03-19,184,3366
CATERING ROAD CENTRAL,航膳中路,Is,Islands,離島,1998-01-02,73,35797
CATERING ROAD EAST,航膳東路,Is,Islands,離島,1998-01-02,73,35797
CATERING ROAD WEST,航膳西路,Is,Islands,離島,1998-01-02,73,35797
CEDAR STREET,柏樹街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
CENTRAL KOWLOON BYPASS,中九龍繞道,YTM-KC-KT,Yau Tsim Mong / Kowloon  City / Kwun Tong,油尖旺 / 九龍城 / 觀塘,2025-11-21,7381,45982
CENTRAL WAN CHAI BYPASS,中環灣仔繞道,WC-C&W-E,Wan  Chai / Central  &  Western / Eastern,灣仔 / 中西區 / 東區,2026-07-03,4034,46206
CHA KWO LING ROAD,茶果嶺道,KT,Kwun Tong,觀塘,1967-03-03,486,24534
CHA KWO LING ROAD,茶果嶺道,KT,Kwun Tong,觀塘,1967-03-17,603,24548
CHA KWO LING ROAD,茶果嶺道,KT,Kwun Tong,觀塘,1991-08-02,2728,33452
CHAI KEK ROAD,寨乪路,TP,Tai  Po,大埔,2011-12-02,7901,40879
CHAI WAN KOK STREET,柴灣角街,TW,Tsuen  Wan,荃灣,1962-11-23,2378,22973
CHAI WAN ROAD,柴灣道,E,Eastern,東區,1961-08-04,1335,22497
CHAI WAN ROAD,柴灣道,E,Eastern,東區,1974-05-31,1380,27180
CHAI WAN ROAD,柴灣道,E,Eastern,東區,1974-08-23,2175,27264
CHAI WAN ROAD,柴灣道,E,Eastern,東區,1984-03-30,970,30771
CHAK CHEUNG STREET,澤祥街,ST,Sha Tin,沙田,2000-10-27,7062,36826
CHAK CHEUNG STREET,澤祥街,ST,Sha Tin,沙田,2007-06-15,3924,39248
CHAK FUNG STREET,澤豐街,TM,Tuen  Mun,屯門,1990-11-30,4335,33207
CHAK ON ROAD,澤安道,SSP,Sham  Shui  Po,深水埗,1987-09-18,3107,32038
CHAK ON ROAD,澤安道,SSP,Sham  Shui  Po,深水埗,2001-07-20,4393,37092
CHAK ON ROAD,澤安道,SSP,Sham  Shui  Po,深水埗,2001-08-03,4784,37106
CHAK ON ROAD SOUTH,澤安道南,SSP,Sham  Shui  Po,深水埗,2001-07-20,4393,37092
CHAK YAN ROAD,澤欣路,TW,Tsuen  Wan,荃灣,2004-12-17,8104,38338
CHAN MAN STREET,親民街,SK,Sai  Kung,西貢,1985-12-27,4229,31408
CHANG FA AVENUE,橙花路,WTS,Wong Tai Sin,黃大仙,1970-03-06,536,25633
CHANGSHA STREET,長沙街,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
CHAP FUK ROAD,集福路,SK,Sai  Kung,西貢,1993-02-19,554,34019
CHAP WAI KON STREET,插桅杆街,ST,Sha Tin,沙田,1982-12-17,3954,30302
CHATER ROAD,遮打道,C&W,Central  &  Western,中西區,1958-06-27,865,21363
CHATHAM COURT,漆咸圍,YTM,Yau Tsim Mong,油尖旺,1949-08-19,787,18129
CHATHAM PATH,漆咸徑,C&W,Central  &  Western,中西區,1919-09-26,450,7209
CHATHAM ROAD NORTH,漆咸道北,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1979-01-12,111,28867
CHATHAM ROAD SOUTH,漆咸道南,YTM,Yau Tsim Mong,油尖旺,1979-01-12,111,28867
CHAU TAU SOUTH ROAD,洲頭南路,YL,Yuen Long,元朗,2000-03-31,2030,36616
CHAU TAU WEST ROAD,洲頭西路,YL,Yuen Long,元朗,2000-03-31,2030,36616
CHE FONG STREET,智芳街,K&T,Kwai  Tsing,葵青,1974-04-19,1023,27138
CHE KENG TUK ROAD,輋徑篤路,SK,Sai  Kung,西貢,1991-05-24,1786,33382
CHE KUNG MIU ROAD,車公廟路,ST,Sha Tin,沙田,1981-09-18,2794,29847
CHE KUNG MIU ROAD,車公廟路,ST,Sha Tin,沙田,1983-12-23,3977,30673
CHE PING STREET,車坪街,N,North,北區,1983-04-29,1316,30435
CHEK LAP KOK ROAD,赤鱲角路,Is,Islands,離島,2017-03-10,1273,42804
CHEK LAP KOK ROAD,赤鱲角路,Is,Islands,離島,2026-05-22,2981,46164
CHEK LAP KOK SOUTH ROAD,赤鱲角南路,Is,Islands,離島,1997-04-25,2008,35545
CHEK LAP KOK SOUTH ROAD,赤鱲角南路,Is,Islands,離島,1998-01-02,73,35797
CHENGTU ROAD,成都道,S,Southern,南區,1941-10-24,1261,15273
CHEONG HANG LANE,暢行里,KC,Kowloon  City,九龍城,1979-06-22,1564,29028
CHEONG HANG ROAD,暢行道,KC,Kowloon  City,九龍城,1975-07-11,1541,27586
CHEONG HING ROAD,暢興路,Is,Islands,離島,1998-01-02,73,35797
CHEONG HING ROAD,暢興路,Is,Islands,離島,2005-11-11,5908,38667
CHEONG HING ROAD,暢興路,Is,Islands,離島,2022-05-13,2362,44694
CHEONG HONG ROAD,暢航路,Is,Islands,離島,1998-01-02,73,35797
CHEONG HONG ROAD,暢航路,Is,Islands,離島,2019-07-26,4781,43672
CHEONG KING ROAD,暢景路,Is,Islands,離島,2005-11-11,5907,38667
CHEONG LIN ROAD,暢連路,Is,Islands,離島,1998-01-02,73,35797
CHEONG LIN ROAD,暢連路,Is,Islands,離島,2001-05-04,2840,37015
CHEONG MING STREET,昌明街,WC,Wan  Chai,灣仔,1930-03-07,138,11024
CHEONG SAN LANE,昌新里,SSP,Sham  Shui  Po,深水埗,1990-01-25,333,32898
CHEONG SHING PATH,昌盛徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
CHEONG SHUN ROAD,暢順路,Is,Islands,離島,2005-08-05,3798,38569
CHEONG TAI STREET,昌泰街,TW,Tsuen  Wan,荃灣,1973-03-16,704,26739
CHEONG TAT ROAD,暢達路,Is,Islands,離島,1998-01-02,73,35797
CHEONG TAT ROAD,暢達路,Is,Islands,離島,2005-08-05,3799,38569
CHEONG TAT ROAD,暢達路,Is,Islands,離島,2022-05-13,2362,44694
CHEONG TUNG ROAD,暢通道,KC,Kowloon  City,九龍城,1988-03-04,711,32206
CHEONG TUNG ROAD SOUTH,暢通道南,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1999-08-20,4818,36392
CHEONG WAN ROAD,暢運道,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1976-03-05,528,27824
CHEONG WAN ROAD,暢運道,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,2001-03-09,1565,36959
CHEONG WAN ROAD,暢運道,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,2015-11-13,8864,42321
CHEONG WING ROAD,暢榮路,Is,Islands,離島,1998-01-02,73,35797
CHEONG WING ROAD,暢榮路,Is,Islands,離島,2008-04-25,2781,39563
CHEONG WONG ROAD,暢旺路,Is,Islands,離島,1998-01-02,73,35797
CHEONG WONG ROAD,暢旺路,Is,Islands,離島,2001-05-04,2840,37015
CHEONG WONG ROAD,暢旺路,Is,Islands,離島,2005-11-11,5908,38667
CHEONG WONG ROAD,暢旺路,Is,Islands,離島,2026-05-22,2981,46164
CHEONG WUI ROAD,暢匯路,Is,Islands,離島,2007-02-23,1406,39136
CHEONG WUI ROAD,暢匯路,Is,Islands,離島,2026-05-22,2981,46164
CHEONG YIP ROAD,暢業路,TM-Is,Tuen  Mun / Islands,屯門 / 離島,1998-01-02,73,35797
CHEONG YIP ROAD,暢業路,TM-Is,Tuen  Mun / Islands,屯門 / 離島,2026-05-22,2981,46164
CHERRY STREET,櫻桃街,YTM,Yau Tsim Mong,油尖旺,1954-12-24,1562,20082
CHERRY STREET,櫻桃街,YTM,Yau Tsim Mong,油尖旺,1998-05-29,2633,35944
CHESTER ROAD,志士達道,KC,Kowloon  City,九龍城,1950-07-21,867,18465
CHEUK WAN STREET,卓運街,N,North,北區,1995-01-13,153,34712
CHEUNG CHAU BEACH ROAD,長洲東堤路,Is,Islands,離島,1985-07-05,2166,31233
CHEUNG CHAU CHURCH ROAD,長洲教堂路,Is,Islands,離島,1985-07-05,2166,31233
CHEUNG CHAU ELECTRIC PATH,長洲電廠徑,Is,Islands,離島,2008-12-05,8315,39787
CHEUNG CHAU HOSPITAL ROAD,長洲醫院路,Is,Islands,離島,1985-07-05,2166,31233
CHEUNG CHAU PEAK ROAD,長洲山頂道,Is,Islands,離島,2008-07-11,4752,39640
CHEUNG CHAU PEAK ROAD WEST,長洲山頂道西,Is,Islands,離島,2008-07-11,4752,39640
CHEUNG CHAU SAI TAI ROAD,長洲西堤道,Is,Islands,離島,1990-12-07,4413,33214
CHEUNG CHAU SAI TAI ROAD,長洲西堤道,Is,Islands,離島,2000-10-13,6669,36812
CHEUNG CHAU SPORTS ROAD,長洲體育路,Is,Islands,離島,1985-07-05,2166,31233
CHEUNG CHI LANE,長智巷,Is,Islands,離島,1990-12-07,4413,33214
